Autor/a (atribución tradicional),Atribución actual,Obra,Temporada,Compañía,Adaptador / Dramaturgismo / Traductor,Fecha de estreno,Festivales,Sinopsis,Web Oficial,Dirección,Escenografía,Reparto,Iluminación,Música y sonido,Video escena,Vestuario,Movimiento,Producción,Lugar de estreno,
Miguel de Cervantes,,Gaudeamus,2012,La Chana Teatro,,,,"Basado en “el licenciado Vidriera” de Miguel de Cervantes, la Chana teatro propone esta vez una adaptación libre, cómica y satírica de esta novela ejemplar, llevándola al mágico mundo del teatro de objetos y centrando la trama en el deseo de un joven pobre de ser el hombre más famoso de su tiempo por sus estudios y conocimientos. La ciudad de Salamanca, sus viajes por Italia y Flandes serán el marco donde se produce la curiosa transformación del protagonista y donde nuestro licenciado beberá de las fuentes de la sabiduría para alcanzar su propósito. Pero la vida, a veces, tuerce los caminos, y aunque de sobra es conocido el argumento de esta hermosa novela, no lo desvelaremos aquí, como deferencia a los que no la conozcan y quieran acercarse a ver y escuchar un extravagante suceso imaginado por el ingenioso e industrioso Miguel de Cervantes, precursor en este relato de la literatura fantástica.



Se trata de un texto lleno de giros lingüísticos tan tontorrones que no existe otra alternativa que la risa más pura, pero con una gran carga de contenido como trasfondo: nada menos que la organización de la sociedad y los anhelos íntimos de toda persona.",https://lachanateatro.es/gaudeamus/,Jaime Santos,,Jaime Santos,Áurea Pérez,Áurea Pérez,,,,La Chana Teatro,,
Miguel de Cervantes,,"Don Quijote, Yo soy don Quijote, Yo soy Don Quijote de La Mancha",2012,Metrópolis Teatro,José Ramón Fernández,5 de julio de 2012,Festival de Teatro Clásico de Almagro,,,Luis Bermejo,Javier Aoiz,"osé Sacristán, Fernando Soto y Almudena Ramos. Músico: José Luis López",Juan Gómez-Cornejo e Ion Aníbal López,Álvaro luna y Bruno Praena,Álvaro luna y Bruno Praena,Mónica Boromello,,Metrópolis Teatro,Antigua Universidad Renacentista de Almagro (Ciudad Real),
Miguel de Cervantes,,El coloquio de los perros ,2013,"CNTC, Els Joglars",Albert Boadellam Martina Cabanas y Ramón Fontserè,26 de marzo de 2013,,,https://teatroclasico.mcu.es/wp-content/uploads/2015/07/pd-01-ecdlp.pdf,Ramón Fontserè,,"Ramon Fontserè, Pilar Sáenz, Dolors Tuneu, Xavi Sais y Xevi Vilà",Bernat Jansà y Xevi Sáenz,Carles Cases,,,,"CNTC, Els Joglars",Teatro Pavón de Madrid,
Miguel de Cervantes,,El coloquio de los perros,2013,Amanece Teatro,Genoveva Santago,,,,,Tagore González y David Orrico,,Genoveva Santiago y Laura Enguídanos,,,,,,Amanece Teatro,,
Miguel de Cervantes,,Don Quijote de la Mancha; Don Quijote,2014,"Centro Dramático Nacional, CDN",Brenda Escobedo,7 de abril de 2014,,"El ingenioso hidalgo don Quijote de la Mancha narra las aventuras de Alonso Quijano, un hidalgo pobre que de tanto leer novelas de caballería acaba enloqueciendo y creyendo ser un caballero andante, nombrándose a sí mismo como don Quijote de la Mancha. Sus intenciones son ayudar a los pobres y desfavorecidos, y lograr el amor de la supuesta Dulcinea del Toboso, que es en realidad es una campesina llamada Aldonza Lorenzo. Decide nombrar a Sancho Panza, un empleado suyo, su escudero. Juntos viven muchas aventuras y tras ser vencido por el Caballero de la Blanca Luna se retira a su hogar, donde, tras adquirir de nuevo la cordura, fallece.

La presente edición intenta no ser una más de las múltiples ediciones existentes. Se ha respetado el texto de la edición príncipe con el mayor escrúpulo posible, acompañada de notas explicativas. Está ilustrada con magníficos grabados españoles que acompañaron a la primera edición de la Academia. Una edición en suma, tal como se dice en la introducción, realizada a la medida de todos los lectores y capaz de sugerir más de una interpretación.
",https://cdn.mcu.es/espectaculo/don-quijote-titerescena/,José Luis Gómez,,Cómico: Ernesto Arias. Académico: Francisco Rico. Intérprete-músico: Luis Delgado,Carlos Marquerie,Javier Almela,,,,"Centro Dramático Nacional, CDN",Teatro Pavón de Madrid,
Miguel de Cervantes,,El coloquio de los perros,2014,Laboratorio Escénico Univalle,Ma Zhenghong y Alejandro González Puche,17 de junio de 2014,Festival Internacional de Teatro Clásico,"En este coloquio, dos perros adquieren por una noche el don del habla. Berganza, uno de los canes, relata a Cipión las vicisitudes sufridas con cada uno de sus amos, cuya vida deambuló entre carniceros, pastores, militares, actores y enfermos, en un divertido y crudo relato sobre la condición humana. Este inusual diálogo es escuchado por un enfermo recluido en un hospital. El Coloquio se convierte en un descarnado y valioso retrato ético, religioso, social y artístico del Barroco español.",https://comunicaciones.univalle.edu.co/InformesPrensa/2014/marzo/OC-067-2014.html,Ma Zhenghong y Alejandro González Puche,Pedro Ruiz,"Diana María Valencia, Johanna Robledo, Jesús David Valencia, Felipe Andrés Pérez, Alexander Buitrón, Nathaly Vargas y Tatiana Toro",,Pablo Gutiérrez,,Pedro Ruiz,,Laboratorio Escénico Univalle,Teatro Municipal de Almagro (Ciudad Real),
Miguel de Cervantes,,Entremeses: La cueva de Salamanca; El viejo celoso; El retablo de las maravillas,2014,Teatro de la Abadía,,,Festival Clásicos en Alcalá,"Las tramas de estas tres historias, el lenguaje cervantino y la forma escénica que les ha otorgado el montaje conectan de una manera inmediata e intensa con aquel que las vea, o vuelva a verlas.

 Bajo un árbol solitario se reúnen los jóvenes de un villorrio y escenifican para sí y para sus convecinos tres piezas maestras: La cueva de Salamanca, El viejo celoso y El retablo de las maravillas. Cervantes lanza una mirad aparentemente compasiva pero implacable sobre las grandes mentiras de su tiempo: la religiosidad y la beatería, el honor de las mujeres y la lujuriosa ansia de vivir, la pretendida limpieza de sangre de los cristianos viejos en un país profundamente amestizado.

Lucidez, compasión y humor se funden con la palabra de Cervantes en una síntesis irrepetible.",https://www.teatroabadia.com/espectaculo/entremeses/,José Luis Gómez,José Hernández,"Eduardo Aguirre de Cárcer, Diana Bernedo, Julio Cortázar, Miguel Cubero, Palmira Ferrer, Elisabet Gelabert, Javier Lara, Luis Moreno, Inma Nieto y José Luis Torrijo",Juan Gómez Cornejo,Luis Delgado,,María Luisa Engel,,Teatro de la Abadía,,
Miguel de Cervantes,,Don Quijote; Las locas historias de Don Quijote de La Mancha,2014,Universalmix teatro,Eva Rodríguez,22 de diciembre de 2014,,"Es una obra infantil, muy entretenida y divertida, para celebrar el IV Centenario de
la muerte de Miguel de Cervantes en 2016 (22 de abril de 1616).
""En un lugar de la Mancha..."" ocurrió la historia que nos ocupa. Un texto universal como el
de don Miguel de Cervantes, será revivido para los más pequeños, aportando dinamismo y
atractivo que los niños necesitan para tomarle cariño a tan ilustre caballero.
En esta obra los actores junto con los Muppets de los personajes que la protagonizan,
narran algunas aventuras del Ingenioso Hidalgo y de su compañero Sancho. Molinos de
viento, batallas, ínsulas y demás aventuras dentro del marco de la diversión. Un mundo
de fantasía que el caballero Don Quijote forjó en su mente y llegó a hacer realidad.
Como los juegos de un niño.",https://bd.qtheatre.org/Upload/123.pdf,Eva Rodríguez,Eduardo Gutiérrez,"Carlos Castel, Marta Marín y Eva Rodríguez",Álvaro Rmos,Raúl Lara,,,,Universalmix Teatro,Centro Cultural La Vaguada de Madrid,
Miguel de Cervantes,,El cerco de Numancia,2015,Verbo Producciones,Florian Recio,19 de agosto de 2015,Festival Internacional de Teatro Clásico,"Numancia, el mito, siempre se ha magnificado de manera especial, hasta el punto de llegar a formar parte de la lista de las grandes derrotas de la historia.

Los mitos forjan identidades y conforman comunidades y en este sentido pueden tener su utilidad y en este contexto la historia de Numancia, su sacrificio, ha sido siempre engrandecido y utilizado según los intereses ideológicos del momento. La heroica gesta de los numantinos de inmolarse antes que doblegarse al poder de Roma es, por sí mismo, un gesto con múltiples lecturas según lo analicemos desde el punto de vista de los opresores o de los oprimidos. Para Roma representaba una cosa, para los Numantinos otra.

No siempre la muerte es el único final, antes lo son la humillación, la pérdida de identidad, el miedo, el hambre y cuántos etc., se puedan poner de los muchos que conforman nuestra realidad cotidiana.

Numancia para nosotros es, hoy, más analogía que mito.",https://www.festivaldemerida.es/programacion/el-cerco-de-numancia/?archivo=1&ano-archivo=2015,Paco Carrillo,Damián Galán," Fernando Ramos, Ana García, Pedro Montero, Paca Velardiez, David Gutiérrez, Juan Carlos Tirado, José Francisco Ramos. Jesús Manchón y Manuel Menárguez. Intérpretes-músicos: María Luisa Rojas, Juanjo Frontela y Eloy Talavera",Francisco Cordero,Laoctava,,Maite Álvarez,,Verbo Producciones,Teatro Romano de Mérida (Badajoz),
Miguel de Cervantes,,Don Quijote; El sueño del Quijote,2015,El Jinete Verde,César Deneken y Marina Armario,18 de octubre de 2015,,"Ifigenia y Fredo son dos vagabundos que van de pueblo en pueblo con su casa rodante. Al llegar al lugar donde pasarán la noche, se encuentran con don Alonso, un vagabundo muy especial que les cuenta la historia de un hidalgo de esos de lanza en astillero, adarga antigua, rocín flaco y galgo corredor, que vivía en un lugar de la Mancha . Así comienza El sueño del Quijote, una historia dentro de otra historia que nos narra las aventuras y desventuras de don Quijote de la Mancha, uno de los personajes más importantes de la literatura universal.",https://bd.qtheatre.org/es/schede/el-sueo-del-quijote/155,César Deneken,Marina Armario,"César Deneken, Abraham Canca y Marina Armario",Daniel Arana,Abraham Canca y Alejandro Junquero,,Marina Armario,,El Jinete Verde,Teatro Villamarta de Jerez de la Frontera (Cádiz),
Miguel de Cervantes,,Ingenius gentleman don Quixote of La Mancha; Don Quijote,2015,Little Soldier Productions,Tiffany Word,,,"La recreación juega con códigos burlescos y todos los personajes son representados por tres actores y una música que acompaña con su guitarra la acción dramática. Entre los episodios mostrados está la presentación del personaje de don Quijote, el manteo de Sancho, retiro de don Quijote a Sierra Morena, quema de los libros de caballería, enfrentamiento con molinos/ gigantes, cueva de Montesinos, Maese Pedro y su mono adivino, ejército de carneros, lucha contra el Caballero de la Blanca Luna y regreso a casa de don Quijote. Agregan un episodio de lucha contra un dragón con fuego, una presentación de los actores y un coloquio con los espectadores casi al comienzo de la función, digresiones sobre cuestiones de dirección escénica con críticas realizadas al carácter absurdo de algunas decisiones de la adaptación y una alusión. final de un premio de una botella de vino.",https://bd.qtheatre.org/en/schede/the-ingenious-gentleman-don-quixote-of-la-mancha/5322,Ian Nicholson,Sophia Simensky," Mercè Ribot, Patricia Rodríguez y Stephen Harper. Intérprete-músico: María Camahort
",Seth Rook Williams,Maria Camahort,,Sophia Simensky,,Little Soldier Productions,,
Miguel de Cervantes,,La española inglesa; Las dos doncellas; Novelas ejemplares,2015,Factoría Teatro S. L,Diana Luque y Gonzala Martín  Sherman,,,"Nuestro deseo es llevar a escena todas y cada una de las Novelas Ejemplares de Cervantes, y el tiempo nos llevará a repartirlas por nuestra futura vida teatral. Ahora nos toca La española inglesa y Las dos doncellas. Dos novelas con féminas como protagonistas y con un motor común: el viaje. Un viaje de la mano de tres cómicos transtemporales que desde el siglo XVII siguen pegados a las tablas contando historias. Cada uno de los relatos se dibuja como un mundo diferente, desde un lenguaje distinto, con diferentes recursos, en barco por la mar y a caballo por tierra.",https://www.factoriateatro.com/novelas-ejemplares/,Gonzala Martín Scherman,Arturo Martín Burgos,"Mercè Ribot, Patricia Rodríguez y Stephen Harper. Intérprete-músico: María Camahort",Rosana García ,Pepo Scherman,,Juan Ortega ,Mar Navarro,Factoría Teatro S. L,,
Miguel de Cervantes,,"Quijote, el vértigo de Sancho; Kixote; Don Quijote",2015,Markeliñe,Del Colectivo,9 de enero de 2015,,,https://www.festivaldealmagro.com/programa/quijote-el-vertigo-de-sancho/,José Ramón Martínez,ATX Teatroa,"Sandra F. Aguirre, Itziar Fragua y Maitane Azpiroz",Paco Trujillo,,,Marijo de la Hoz,,Markeliñe,"Zornotza Aretoa de Amorebieta-Etxano, Vizcaya (País Vasco)",
Miguel de Cervantes,,Quijote aventuras; Don Quijote,2015,Delirium Teatro,,14 de noviembre de 2015,,,https://deliriumteatro.com/obras/quijote-aventuras/ ,Severiano García Noda,,"Severiano García Noda, Soraya Gonzáles del Rosario y Lioba Herrera",,,,,,Delirium Teatro,"Auditorio Capitol de Tacoronte, Sanra Cruz de Tenerife (Islas Canarias)",
Miguel de Cervantes,,El coloquio de los perros,2016,Lacoz,Gastón Borges,26 de julio de 2016,Festival Almagro Off,"Esta adaptación de El coloquio de los perros de
Cervantes se encuadra en el proyecto Teatros
Ejemplares que se proponía la adaptación para
teatro de las 12 Novelas Ejemplares. En 2016 es
seleccionado como prelanzamiento al Festival
Internacional Cervantino que se llevará a cabo
en Montevideo en el mes de octubre de este año.
Entiendo el Barroco español, y no es nada
nuevo, como una manera de sentir el mundo:
como inestabilidad social y como juego de
máscaras donde la simulación no permite ver el
Ser. La picaresca encuentra muchos elementos
en común con el mundo contemporáneo: la
unidad de los fragmentos, la exposición de los
contenidos particulares, la imposibilidad de
conocer plenamente, la obligatoria movilidad
del Ser hacia diversas apariencias, son conflictos
que se repiten en una época inestable como esta.
Esta versión actualiza las críticas al poder y sus
abusos, la imperiosa necesidad de subsistir en una
sociedad que se devora a sí misma, que fuerza
a sus integrantes a reiterar comportamientos
culturalmente aceptables. El coloquio recuerda los
experimentos de sífilis de EEUU en la década
del 40 en Guatemala, de manera de establecer
una conexión con la última novela ejemplar: El
coloquio de los perros de Cervantes se ubica en una
crisis de los sistemas de salud en el siglo XVI
debido a la emergencia de la sífilis en Europa.
Esta adaptación de la novela encuentra en la
enfermedad el contacto entre Europa y América,
pero también recuerda la última gran crisis
económica en el Río de la Plata en 2002, que
hundió en la pobreza a miles de personas; así
se conecta con ese inicio de la Modernidad de
la cual la picaresca española es un mapa dónde
poder rastrear la humanidad.",https://www.festivaldealmagro.com/wp-content/uploads/2019/12/programa_2016.pdf,Gastón Borges,Florencia Wenzel,"Martín Bonilla, Carlos Sorriba, Adhemar Rubbo, Fernando Roja y Carolina Rebollosa",Florencia Wenzel y Analía Valerio,Carolina Roballo,,Analía Valerio,,Lacoz,Teatro La Veleta de Almagro (Ciudad Real),
Miguel de Cervantes,,El retablo de las maravillas,2016,Morfeo Teatro Clásico,Francisco Negro,30 de enero de 2016,,"El Retablo de las Maravillas' que escribió Cervantes hace cuatro siglos, presenta una divertida sátira sobre las hipocresías de la España de la época. Los mandatarios de un pueblo, ante un retablo vacío mostrado por unos cómicos, y aparentemente mágico por no enseñar nada a sucios de sangre o bastardos, simulan ver lo que no ven para demostrar que son ""gentes de bien nacer"". La disparatada sátira cobra dramatismo y se acentúa la acidez del discurso cervantino en un sorprendente y emotivo final.",http://www.teatrocolon.es/es/evento/el-retablo-de-las-maravillas-morfeo-teatro/,Francisco Negro,Francisco Negro y Regue Fernández Mateos,"Joan Llaneras, Francisco Negro, Mayte Bona, Felipe Santiago, Adolfo Pastor, Santiago Nogues y Mamen Godoy",José Antonio Tirado,,,Mayte Bona,,Morfeo Teatro Clásico,Teatro Principal de Burgos (Castilla y León),
